Age,Workclass,Education,Marital Status,Occupation,Relationship,Capital Gain,Capital Loss,Hours per week,Country,Target
Age > 48.00,Self-emp-not-inc,High School grad,Married,Sales,Husband,High,None,40.00 < Hours per week <= 45.00,United-States,"More than $50
37.00 < Age <= 48.00,State-gov,Doctorate,Never-Married,White-Collar,Not-in-family,None,None,Hours per week <= 40.00,Euro_1,"More than $50
Age > 48.00,Private,High School grad,Separated,White-Collar,Unmarried,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Separated,Blue-Collar,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,Dropout,Married,Sales,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,Dropout,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,Latin-America,"Less than $50
37.00 < Age <= 48.00,Local-gov,Bachelors,Separated,Other,Unmarried,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,Private,Bachelors,Married,Sales,Wife,None,None,Hours per week <= 40.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,Bachelors,Married,Professional,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
37.00 < Age <= 48.00,Private,High School grad,Married,Other,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
28.00 < Age <= 37.00,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,None,None,40.00 < Hours per week <= 45.00,Other,"More than $50
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Local-gov,Masters,Married,Professional,Wife,None,High,Hours per week <= 40.00,United-States,"More than $50
28.00 < Age <= 37.00,Local-gov,Bachelors,Married,Sales,Husband,Low,None,Hours per week <= 40.00,SE-Asia,"More than $50
28.00 < Age <= 37.00,Self-emp-not-inc,Associates,Married,Blue-Collar,Husband,None,None,Hours per week > 45.00,United-States,"Less than $50
Age <= 28.00,Local-gov,Bachelors,Married,Blue-Collar,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
Age > 48.00,Private,High School grad,Married,Sales,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
Age <= 28.00,Private,High School grad,Never-Married,Service,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Private,Bachelors,Married,Professional,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,Bachelors,Separated,Other,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age <= 28.00,Federal-gov,High School grad,Never-Married,Admin,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,Associates,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,South-America,"Less than $50
37.00 < Age <= 48.00,Self-emp-inc,High School grad,Married,White-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,State-gov,High School grad,Married,Other,Husband,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Local-gov,Masters,Separated,Professional,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,Associates,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age <= 28.00,Private,Masters,Married,Professional,Husband,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Own-child,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Sales,Wife,None,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week > 45.00,United-States,"Less than $50
Age <= 28.00,Private,High School grad,Separated,Blue-Collar,Own-child,None,None,Hours per week <= 40.00,Latin-America,"Less than $50
Age <= 28.00,Private,High School grad,Married,Sales,Husband,None,None,Hours per week > 45.00,Euro_1,"Less than $50
Age > 48.00,Federal-gov,High School grad,Married,Admin,Husband,None,None,Hours per week <= 40.00,United-States,"More than $50
28.00 < Age <= 37.00,Private,Bachelors,Married,Sales,Wife,None,None,Hours per week <= 40.00,United-States,"More than $50
Age > 48.00,Self-emp-inc,Prof-School,Married,Professional,Husband,High,None,Hours per week > 45.00,United-States,"More than $50
37.00 < Age <= 48.00,Self-emp-inc,Bachelors,Married,White-Collar,Husband,None,None,Hours per week > 45.00,United-States,"More than $50
Age > 48.00,Private,High School grad,Widowed,Service,Not-in-family,None,None,Hours per week > 45.00,British-Commonwealth,"Less than $50
Age > 48.00,Private,High School grad,Separated,Admin,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
37.00 < Age <= 48.00,State-gov,High School grad,Never-Married,Other,Not-in-family,None,None,Hours per week <= 40.00,United-States,"More than $50
Age <= 28.00,Private,Bachelors,Never-Married,Other,Not-in-family,None,None,Hours per week <= 40.00,United-States,"Less than $50
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,None,None,Hours per week <= 40.00,United-States,"Less than $50
Age > 48.00,Federal-gov,High School grad,Married,Admin,Husband,Low,None,Hours per week <= 40.00,United-States,"More than $50
