Dept,Gender,Clin,Cert,Prate,Exper,Rank
1,1,0,0,7.4,9,3
1,1,0,0,6.7,10,2
1,1,0,0,8.1,6,1
1,1,1,1,5.1,27,3
1,1,0,0,7,10,3
1,1,0,1,7.7,10,3
1,1,0,1,8.3,9,2
1,1,1,1,5.3,11,3
1,1,0,0,7.7,18,3
1,1,0,0,7.5,9,2
1,1,0,0,6.8,12,2
1,1,0,1,7.3,8,2
1,1,1,1,5.4,18,3
1,1,0,0,7.5,15,2
1,1,0,0,6.8,10,2
1,1,0,0,8.1,9,3
1,1,0,0,7.3,16,3
1,1,0,1,7.7,9,3
1,1,0,0,8.1,37,2
1,1,0,1,7.2,14,3
1,1,0,1,8.6,27,3
1,1,0,0,7.1,14,3
1,1,0,1,7.3,17,3
1,1,0,1,6.9,23,3
1,1,0,1,7.4,8,3
1,1,0,1,6.9,19,3
1,1,0,0,8,15,2
1,1,0,1,7,16,3
1,1,0,1,6.9,15,3
1,1,0,0,7.7,7,1
1,0,0,0,7.2,2,1
1,0,0,1,8.7,12,2
1,0,0,1,7.9,7,1
1,0,0,0,8.1,14,2
1,0,0,0,7.4,8,2
1,0,0,0,7.3,7,1
1,0,0,0,7.9,16,3
1,0,0,1,7.2,3,1
1,0,1,1,6.4,16,3
1,0,0,0,8,12,3
1,0,0,0,8.1,8,2
1,0,0,1,7.5,11,1
1,0,0,1,7.6,10,1
1,0,1,1,6,15,1
1,0,0,0,7.1,9,1
1,0,0,0,8,6,1
1,0,1,1,4.6,13,2
1,0,0,0,7.7,13,1
1,0,0,1,7.3,6,1
1,0,0,1,8.1,9,1
2,1,1,1,5.1,10,1
2,1,1,1,5.1,9,3
2,1,0,1,6.8,8,3
2,1,1,1,5.5,25,3
2,1,0,1,7.1,11,3
2,1,0,1,6.6,9,2
2,1,1,1,6.1,27,3
2,1,0,1,7.5,32,2
2,1,0,0,8.3,23,3
2,1,0,0,7.5,14,2
2,1,0,1,7.8,11,3
2,1,0,0,7.5,9,3
2,1,0,0,7,5,2
2,1,0,1,7.5,12,3
2,1,1,1,5.7,18,3
2,1,1,1,6,19,3
2,1,0,0,7.1,10,3
2,1,0,0,7.9,8,2
2,1,1,1,5.9,4,1
2,1,0,1,7.6,14,3
2,0,1,1,5.3,10,2
2,0,0,1,8.1,4,1
2,0,0,1,7.9,14,3
2,0,1,0,5.5,9,3
2,0,0,0,6.9,8,2
2,0,1,0,4.9,3,1
2,0,1,0,5.3,12,3
2,0,0,1,8.5,7,1
2,0,0,1,7.6,12,2
2,0,0,1,8.4,4,1
2,0,0,0,7.4,5,1
2,0,0,0,7.2,2,1
2,0,0,0,8,8,2
2,0,1,0,5,2,1
2,0,0,1,7.7,5,1
2,0,1,0,6.1,11,3
2,0,0,1,7.8,3,1
2,0,1,1,5.7,16,2
2,0,1,0,5.4,5,1
2,0,0,0,8,5,1
3,1,0,1,6.7,24,3
3,1,0,0,5.9,11,2
3,1,1,1,4.1,5,1
3,1,1,0,4.8,16,3
3,1,1,1,4.3,11,3
3,1,1,1,4.3,16,3
3,1,1,1,4.3,16,3
3,1,1,0,4.2,9,2
3,1,1,0,3.9,5,1
3,1,1,1,5.6,6,1
3,0,1,0,3.9,9,3
3,0,0,0,7.3,9,1
3,0,0,0,6.8,6,1
3,0,1,0,5,10,3
3,0,1,1,5.2,9,2
3,0,0,0,6.5,5,1
3,0,1,0,5.7,4,1
3,0,0,0,7,7,1
3,0,0,1,7.3,11,2
3,0,0,0,7.2,10,2
3,0,0,0,8.4,5,1
4,1,1,1,3.1,6,1
4,1,0,1,5.2,17,3
4,1,1,1,3.3,10,2
4,1,1,1,3.2,15,2
4,1,0,1,4.8,10,3
4,1,1,1,2.1,5,1
4,1,1,1,2.9,8,2
4,1,1,1,3.1,7,2
4,1,0,0,5.2,11,2
4,1,1,1,4,7,1
4,0,1,1,4.2,4,1
4,0,0,1,5.5,6,1
4,0,1,1,2.7,4,1
4,0,1,1,3.1,2,2
4,0,1,1,3.1,5,1
4,0,1,1,3.6,16,3
4,0,1,1,3.4,2,1
4,0,0,1,5.3,4,1
4,0,1,1,3,6,2
4,0,1,1,3.2,10,2
4,0,1,1,3.8,5,1
4,0,1,1,3.1,14,3
4,0,1,1,2.6,5,1
4,0,0,1,5.7,13,1
