Position,Oral,Written,Race,Combine,Class
0,79,36,2,112,1
0,69,36,2,110,1
0,72,33,2,107,1
0,77,24,2,100,1
0,62,31,2,99,1
0,62,29,1,98,1
0,62,29,2,98,1
0,51,31,1,96,1
0,60,28,2,95,1
0,73,20,2,93,1
0,76,17,2,90,1
0,69,22,2,89,1
0,67,22,1,87,1
0,60,25,2,84,1
0,63,22,2,82,1
0,72,18,0,81,1
0,58,22,2,78,1
0,51,24,2,77,1
0,48,22,0,70,1
0,72,12,2,69,1
0,25,28,2,68,1
0,54,18,0,62,1
0,37,23,2,59,0
0,66,12,2,58,0
0,55,16,2,56,0
0,55,16,2,56,0
0,32,24,2,55,0
0,34,23,1,54,0
0,26,23,2,48,0
0,15,25,0,45,0
0,45,13,1,42,0
0,22,16,2,35,0
0,30,13,1,32,0
0,9,17,2,28,0
0,46,5,0,25,0
0,26,10,1,20,0
0,52,2,0,17,0
0,2,15,1,13,0
0,18,7,2,7,0
0,33,3,0,6,0
0,20,1,0,2,0
1,78,35,2,111,1
1,75,33,2,109,1
1,64,35,2,108,1
1,74,31,2,106,1
1,69,33,2,105,1
1,59,35,2,104,1
1,71,31,2,103,1
1,58,34,2,103,1
1,40,36,2,102,1
1,47,35,2,101,1
1,50,32,2,97,1
1,59,28,2,94,1
1,31,34,2,92,1
1,64,24,0,91,1
1,36,32,0,88,1
1,70,21,0,86,1
1,61,25,2,85,1
1,39,30,2,83,1
1,75,14,2,80,1
1,42,27,0,79,1
1,65,18,2,76,1
1,53,22,0,75,1
1,44,24,2,74,1
1,80,8,0,73,1
1,57,20,2,72,1
1,58,19,2,71,1
1,21,29,1,67,1
1,49,20,1,66,1
1,42,22,2,65,1
1,29,26,2,65,1
1,17,29,1,64,1
1,64,14,2,63,1
1,59,16,2,61,1
1,56,17,2,60,1
1,41,21,2,57,0
1,53,16,1,53,0
1,59,14,2,52,0
1,31,24,2,52,0
1,12,27,2,51,0
1,38,20,1,50,0
1,13,26,2,49,0
1,53,13,0,47,0
1,41,17,2,46,0
1,68,8,2,44,0
1,24,21,1,43,0
1,21,21,2,41,0
1,43,13,0,40,0
1,11,23,2,39,0
1,27,18,1,38,0
1,49,9,0,37,0
1,13,19,1,36,0
1,56,6,2,34,0
1,11,19,1,33,0
1,24,14,2,31,0
1,25,12,0,30,0
1,24,12,0,29,0
1,1,21,1,27,0
1,12,15,1,26,0
1,21,12,0,24,0
1,12,14,0,23,0
1,10,15,2,22,0
1,33,9,2,21,0
1,7,16,1,19,0
1,35,7,0,18,0
1,28,7,2,16,0
1,12,11,2,15,0
1,4,14,2,14,0
1,3,14,1,12,0
1,5,13,2,11,0
1,23,7,0,10,0
1,19,7,2,9,0
1,31,4,0,8,0
1,0,12,1,5,0
1,14,5,0,4,0
1,8,7,1,3,0
1,16,1,0,1,0
1,6,0,0,0,0
