Pclass,Name,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,Survived
3,601,1,22.0,1,0,18,0
1,822,0,38.0,1,0,207,1
3,171,0,26.0,0,0,41,1
1,813,0,35.0,1,0,189,1
3,732,1,35.0,0,0,43,0
3,463,1,27.0,0,0,51,0
1,699,1,54.0,0,0,186,0
3,32,1,2.0,3,1,124,0
3,841,0,27.0,0,2,74,1
2,838,0,14.0,1,0,154,1
3,193,0,4.0,1,1,110,1
1,114,0,58.0,0,0,143,1
3,735,1,20.0,0,0,43,0
3,266,1,39.0,1,5,158,0
3,151,0,14.0,0,0,36,0
2,764,0,55.0,0,0,108,1
3,27,1,2.0,4,1,151,0
2,304,1,23.0,0,0,85,1
3,831,0,31.0,1,0,113,0
3,793,0,22.0,0,0,16,1
2,508,1,35.0,0,0,138,0
2,536,1,34.0,0,0,85,1
3,72,0,15.0,0,0,42,1
1,748,1,28.0,0,0,168,1
3,233,0,8.0,3,1,124,0
3,775,0,38.0,1,5,159,1
3,369,1,26.0,0,0,16,0
1,301,1,19.0,3,2,246,0
3,121,0,24.0,0,0,38,1
3,535,1,23.0,0,0,40,0
1,3,1,40.0,0,0,145,0
1,872,0,48.0,1,0,236,1
3,204,0,18.0,0,0,30,1
2,337,1,66.0,0,0,72,0
1,330,1,28.0,1,0,220,0
1,252,1,42.0,1,0,187,0
3,411,1,18.0,0,0,17,1
3,356,1,21.0,0,0,43,0
3,85,0,18.0,2,0,113,0
3,155,0,14.0,1,0,75,1
3,819,0,40.0,1,0,62,0
2,876,0,27.0,1,0,123,0
2,226,0,3.0,1,2,177,1
3,186,0,19.0,0,0,38,1
3,743,1,30.0,0,0,43,0
3,324,1,20.0,1,0,102,0
3,94,0,27.0,0,0,30,1
3,751,1,16.0,2,0,125,0
3,826,0,18.0,1,0,112,0
3,40,1,7.0,4,1,175,0
3,637,1,21.0,0,0,34,0
1,809,0,49.0,1,0,211,1
2,834,0,29.0,1,0,138,1
1,352,1,65.0,0,1,200,0
1,438,1,46.0,0,0,168,1
2,127,0,21.0,0,0,72,1
3,555,1,28.5,0,0,17,0
2,102,0,5.0,1,2,146,1
3,51,1,11.0,5,2,179,0
3,598,1,22.0,0,0,17,0
1,67,0,38.0,0,0,218,1
1,423,1,45.0,1,0,222,0
3,34,1,4.0,3,2,147,0
1,246,1,64.0,0,0,145,0
3,31,1,7.0,1,1,101,1
2,759,0,29.0,0,0,72,1
3,357,1,19.0,0,0,46,0
3,128,0,17.0,4,2,41,1
3,711,1,26.0,2,0,54,0
2,676,1,32.0,0,0,72,0
3,173,0,16.0,5,2,179,0
2,264,1,21.0,0,0,208,0
3,275,1,26.0,1,0,94,0
3,538,1,32.0,0,0,193,1
3,668,1,25.0,0,0,24,0
3,447,1,23.0,0,0,40,0
3,628,1,28.0,0,0,43,0
2,15,1,0.83,0,2,150,1
